,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
191,110/03/15,"6,719,561","261,735,338",39.45,39.45,38.70,38.75,-0.50,"3,126"
192,110/03/16,"10,339,857","393,917,524",38.85,38.85,37.70,38.15,-0.60,"5,133"
193,110/03/17,"6,094,992","233,187,878",38.30,38.75,38.00,38.00,-0.15,"2,918"
194,110/03/18,"6,478,220","251,160,466",38.10,39.25,38.10,39.10,+1.10,"3,269"
195,110/03/19,"18,553,632","738,127,337",39.15,40.25,39.05,40.15,+1.05,"7,835"
196,110/03/22,"9,697,414","386,993,645",40.20,40.30,39.30,40.00,-0.15,"3,963"
197,110/03/23,"23,075,149","936,110,141",40.00,41.50,39.80,41.50,+1.50,"9,288"
198,110/03/24,"38,947,049","1,567,254,770",41.50,41.65,39.15,39.75,-1.75,"17,484"
199,110/03/25,"14,817,551","587,038,325",40.00,40.20,38.90,39.60,-0.15,"6,650"
200,110/03/26,"31,834,990","1,327,469,123",40.00,43.50,39.90,43.50,+3.90,"14,622"
201,110/03/29,"31,815,602","1,397,451,150",44.45,45.90,42.60,43.80,+0.30,"14,853"
202,110/03/30,"16,522,445","735,594,348",43.85,45.10,43.30,45.10,+1.30,"8,418"
203,110/03/31,"12,862,929","570,417,244",45.00,45.00,43.85,44.55,-0.55,"6,134"
204,110/04/01,"17,146,312","769,875,251",44.85,45.90,44.20,44.60,+0.05,"7,608"
205,110/04/06,"13,532,070","618,635,464",45.40,46.55,44.65,46.20,+1.60,"6,458"
206,110/04/07,"13,153,980","613,447,162",46.20,47.50,45.70,47.15,+0.95,"5,998"
207,110/04/08,"30,056,516","1,499,951,823",47.15,51.80,47.00,50.20,+3.05,"13,881"
208,110/04/09,"25,954,455","1,270,905,657",50.20,51.10,48.10,48.30,-1.90,"10,607"
209,110/04/12,"24,699,820","1,260,544,532",49.15,52.70,48.50,52.20,+3.90,"11,379"
210,110/04/13,"15,809,384","810,461,401",51.80,52.00,50.30,50.90,-1.30,"9,006"
211,110/04/14,"38,521,385","2,015,390,099",51.50,54.90,49.75,51.50,+0.60,"18,110"
212,110/04/15,"17,196,341","906,766,863",52.70,53.90,51.50,52.30,+0.80,"8,265"
213,110/04/16,"28,119,305","1,539,876,405",53.50,56.20,52.60,55.20,+2.90,"14,240"
214,110/04/19,"32,824,493","1,926,676,083",55.20,60.00,55.20,59.20,+4.00,"16,202"
215,110/04/20,"17,607,114","1,012,576,112",59.70,59.80,56.00,58.30,-0.90,"9,987"
216,110/04/21,"15,366,246","895,807,550",57.60,59.30,56.90,58.90,+0.60,"7,952"
217,110/04/22,"49,564,907","3,100,436,283",60.40,64.70,58.00,59.50,+0.60,"19,692"
218,110/04/23,"25,233,822","1,469,951,851",59.20,60.40,55.00,59.30,-0.20,"12,297"
219,110/04/26,"19,890,913","1,228,224,267",60.00,63.40,59.30,62.00,+2.70,"10,178"
220,110/04/27,"19,789,583","1,220,240,799",62.20,63.50,60.10,60.70,-1.30,"9,611"
221,110/04/28,"19,567,843","1,149,366,526",61.30,61.40,57.50,58.50,-2.20,"9,849"
222,110/04/29,"29,092,433","1,752,301,439",60.00,62.40,57.90,59.20,+0.70,"13,620"
223,110/05/03,"25,292,760","1,507,430,933",60.50,62.00,57.50,58.00,-1.20,"11,380"
224,110/05/04,"25,163,849","1,368,155,390",58.00,58.70,52.20,53.50,-4.50,"11,222"
225,110/05/05,"26,171,838","1,446,235,314",54.00,56.80,53.00,54.20,+0.70,"12,845"
226,110/05/06,"19,265,539","1,079,113,906",54.30,57.40,53.80,56.10,+1.90,"9,061"
227,110/05/07,"15,913,983","897,910,576",56.10,57.60,54.50,57.60,+1.50,"7,063"
228,110/05/10,"19,604,366","1,156,508,100",56.90,60.00,56.60,59.40,+1.80,"10,662"
229,110/05/11,"31,322,034","1,825,675,323",58.70,61.50,54.00,55.50,-3.90,"16,197"
230,110/05/12,"25,115,114","1,308,152,432",55.10,56.50,49.95,51.10,-4.40,"11,381"
231,110/05/13,"17,765,675","864,604,330",47.50,51.00,46.50,49.00,-2.10,"8,884"
232,110/05/14,"15,529,424","744,590,063",51.00,51.00,46.05,47.05,-1.95,"6,493"
233,110/05/17,"24,291,194","1,053,884,652",42.50,46.10,42.35,42.80,-4.25,"9,689"
234,110/05/18,"11,057,685","514,800,172",45.20,47.05,44.50,47.05,+4.25,"3,995"
235,110/05/19,"27,623,878","1,389,424,913",48.80,51.70,47.40,51.40,+4.35,"11,873"
236,110/05/20,"26,574,496","1,290,822,783",49.95,51.40,46.55,46.90,-4.50,"12,278"
237,110/05/21,"18,462,856","868,954,116",48.00,48.45,45.40,47.90,+1.00,"8,402"
238,110/05/24,"10,959,215","516,043,999",46.55,48.10,46.30,46.85,-1.05,"5,292"
239,110/05/25,"14,622,700","674,534,171",46.90,47.85,45.00,46.15,-0.70,"7,162"
240,110/05/26,"8,512,015","395,267,404",46.15,47.25,45.35,47.00,+0.85,"4,280"
241,110/05/27,"10,401,023","486,362,875",46.50,47.90,45.90,45.90,-1.10,"4,776"
