,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
0,109/09/01,"1,122,779","48,220,549",42.85,43.40,42.30,43.20,+0.40,688
1,109/09/02,"19,274,299","897,557,669",43.90,47.50,43.85,46.60,+3.40,"10,191"
2,109/09/03,"9,847,614","450,712,810",46.60,46.85,44.85,45.50,-1.10,"5,617"
3,109/09/04,"3,337,473","148,779,926",44.30,45.15,43.90,44.90,-0.60,"2,024"
4,109/09/07,"3,653,034","165,335,439",45.00,45.95,44.70,44.75,-0.15,"1,969"
5,109/09/08,"2,729,956","123,191,220",45.25,45.65,44.70,44.75, 0.00,"1,504"
6,109/09/09,"1,885,735","83,064,204",44.20,44.40,43.40,44.35,-0.40,"1,175"
7,109/09/10,"1,738,456","76,814,164",44.80,44.80,43.90,43.95,-0.40,"1,035"
8,109/09/11,"2,233,875","96,648,995",43.60,43.80,43.00,43.10,-0.85,"1,337"
9,109/09/14,"3,499,672","154,933,900",43.30,44.95,42.70,44.80,+1.70,"2,025"
10,109/09/15,"6,561,309","298,192,855",45.20,46.00,44.75,45.00,+0.20,"3,788"
11,109/09/16,"3,020,599","137,298,303",45.30,45.85,45.15,45.30,+0.30,"1,717"
12,109/09/17,"2,551,131","115,745,981",45.40,45.80,44.95,45.25,-0.05,"1,428"
13,109/09/18,"1,645,345","74,532,059",45.50,45.75,45.05,45.20,-0.05,936
14,109/09/21,"3,266,283","148,495,461",45.40,45.95,44.90,45.05,-0.15,"1,841"
15,109/09/22,"2,908,521","128,287,876",45.30,45.35,43.30,44.00,-1.05,"1,979"
16,109/09/23,"1,458,513","63,904,591",44.20,44.40,43.55,43.75,-0.25,861
17,109/09/24,"2,993,380","127,120,581",43.00,43.30,42.00,42.05,-1.70,"1,875"
18,109/09/25,"2,777,450","114,094,650",42.20,42.30,40.00,40.90,-1.15,"1,679"
19,109/09/28,"1,343,716","55,688,042",41.10,41.85,40.60,41.70,+0.80,834
20,109/09/29,"1,266,616","52,666,451",41.80,42.15,41.10,41.20,-0.50,733
21,109/09/30,"667,291","27,703,422",41.20,41.85,40.95,41.80,+0.60,395
22,109/10/05,"2,169,816","92,147,952",41.95,43.00,41.70,42.80,+1.00,"1,084"
23,109/10/06,"3,607,316","158,293,947",43.45,44.20,43.40,44.10,+1.30,"1,902"
24,109/10/07,"5,583,769","249,783,700",44.50,45.15,44.25,44.55,+0.45,"2,979"
25,109/10/08,"3,978,409","179,206,556",44.80,45.35,44.60,45.15,+0.60,"2,107"
26,109/10/12,"9,749,718","449,598,766",46.90,47.25,45.40,45.50,+0.35,"5,187"
27,109/10/13,"4,591,812","209,779,270",45.85,46.35,44.70,45.85,+0.35,"2,658"
28,109/10/14,"7,303,653","341,282,129",46.55,47.20,46.25,46.50,+0.65,"4,043"
29,109/10/15,"3,295,640","152,786,615",46.50,46.80,46.05,46.10,-0.40,"1,786"
30,109/10/16,"2,480,658","113,030,832",46.10,46.15,45.15,45.30,-0.80,"1,556"
31,109/10/19,"2,121,973","97,103,358",45.55,46.00,45.55,45.65,+0.35,"1,025"
32,109/10/20,"1,392,108","63,619,644",45.65,45.85,45.40,45.75,+0.10,697
33,109/10/21,"1,575,532","71,915,654",46.10,46.15,45.40,45.60,-0.15,933
34,109/10/22,"5,889,411","256,877,092",45.10,45.15,42.75,43.50,-2.10,"3,834"
35,109/10/23,"1,595,854","70,034,503",43.45,44.20,43.45,43.95,+0.45,982
36,109/10/26,"1,122,362","49,456,365",44.30,44.45,43.80,43.90,-0.05,694
37,109/10/27,"1,265,913","55,200,220",43.70,44.00,43.05,43.85,-0.05,679
38,109/10/28,"4,774,874","203,090,350",42.60,43.30,42.00,42.10,X0.00,"2,306"
39,109/10/29,"1,967,558","82,102,431",41.20,42.50,41.00,42.20,+0.10,"1,046"
40,109/10/30,"1,836,868","76,572,865",42.10,42.10,41.40,41.40,-0.80,"1,109"
41,109/11/02,"1,589,517","65,207,928",41.40,41.70,40.75,40.90,-0.50,"1,003"
42,109/11/03,"1,103,879","45,952,484",41.10,41.85,41.10,41.65,+0.75,730
43,109/11/04,"1,773,357","73,909,050",41.80,41.90,41.30,41.70,+0.05,"1,028"
44,109/11/05,"1,246,913","52,167,133",41.90,42.00,41.55,41.80,+0.10,759
45,109/11/06,"1,648,799","69,376,149",42.00,42.35,41.70,41.90,+0.10,"1,037"
46,109/11/09,"1,881,082","79,443,901",42.15,42.40,42.00,42.35,+0.45,"1,080"
47,109/11/10,"3,046,344","130,329,252",42.65,43.30,42.30,42.50,+0.15,"1,831"
48,109/11/11,"1,490,147","63,561,686",42.20,42.90,42.15,42.80,+0.30,970
49,109/11/12,"1,531,390","65,574,655",42.90,43.10,42.50,42.55,-0.25,885
50,109/11/13,"2,804,326","117,027,716",42.05,42.35,41.25,41.90,-0.65,"1,808"
51,109/11/16,"2,160,268","90,653,709",41.85,42.20,41.80,42.05,+0.15,"1,229"
52,109/11/17,"1,872,589","79,431,417",42.05,42.75,41.90,42.35,+0.30,"1,153"
53,109/11/18,"1,763,787","75,053,564",42.30,42.75,42.15,42.65,+0.30,963
