,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
120,111/07/06,"45,875,699","4,653,042,441",103.00,103.50,100.50,100.50,-2.00,"22,660"
121,111/07/07,"41,084,778","4,210,411,576",101.00,103.50,100.50,103.50,+3.00,"15,382"
122,111/07/08,"35,186,757","3,613,971,179",103.50,104.00,101.50,102.00,-1.50,"15,471"
123,111/07/11,"18,971,045","1,917,673,836",102.00,102.00,100.50,101.00,-1.00,"10,175"
124,111/07/12,"26,222,208","2,629,265,988",100.00,101.00,99.70,100.50,-0.50,"13,954"
125,111/07/13,"32,354,911","3,333,763,591",103.00,103.50,102.50,102.50,+2.00,"15,547"
126,111/07/14,"46,239,887","4,831,039,581",102.50,106.00,102.50,105.00,+2.50,"18,374"
127,111/07/15,"25,505,254","2,682,379,312",105.00,106.00,104.50,105.00, 0.00,"10,272"
128,111/07/18,"17,083,253","1,789,285,264",105.00,105.50,104.00,105.00, 0.00,"8,324"
129,111/07/19,"20,535,363","2,138,674,698",104.50,105.00,103.50,104.00,-1.00,"10,417"
130,111/07/20,"35,585,856","3,703,922,190",104.00,105.00,103.00,103.50,-0.50,"17,562"
131,111/07/21,"24,149,090","2,529,832,035",104.00,105.50,103.50,105.50,+2.00,"9,269"
132,111/07/22,"29,400,418","3,117,384,373",105.50,106.50,105.00,106.00,+0.50,"11,003"
133,111/07/25,"41,471,982","4,448,057,977",106.00,108.00,105.50,107.50,+1.50,"14,188"
134,111/07/26,"23,277,125","2,508,249,267",108.00,108.50,107.00,108.00,+0.50,"10,247"
135,111/07/27,"30,876,807","3,344,846,475",108.50,109.50,107.50,108.00, 0.00,"13,670"
136,111/07/28,"21,932,255","2,378,939,021",109.00,109.00,108.00,108.50,+0.50,"11,572"
137,111/07/29,"21,951,559","2,389,538,354",109.00,109.50,108.50,109.00,+0.50,"9,079"
138,111/08/01,"14,996,382","1,629,872,946",108.50,109.00,108.00,109.00, 0.00,"7,143"
139,111/08/02,"40,743,180","4,375,448,073",108.00,108.00,106.50,108.00,-1.00,"23,127"
140,111/08/03,"31,052,217","3,343,751,905",107.50,108.50,107.00,108.50,+0.50,"12,003"
141,111/08/04,"40,577,638","4,369,634,786",108.00,108.50,106.50,108.00,-0.50,"15,013"
142,111/08/05,"25,350,396","2,748,564,050",108.50,109.00,108.00,108.00, 0.00,"10,246"
143,111/08/08,"23,526,674","2,528,924,473",107.00,108.00,106.50,108.00, 0.00,"10,035"
144,111/08/09,"25,851,764","2,801,896,212",108.00,109.00,107.00,109.00,+1.00,"12,052"
145,111/08/10,"56,629,249","6,226,414,995",109.00,111.00,108.00,110.00,+1.00,"21,011"
146,111/08/11,"62,481,183","7,007,322,071",111.50,113.00,110.50,113.00,+3.00,"28,607"
147,111/08/12,"48,654,945","5,500,411,046",113.00,114.00,112.00,112.50,-0.50,"21,376"
148,111/08/15,"29,468,828","3,304,752,550",113.00,113.00,111.50,112.00,-0.50,"13,776"
149,111/08/16,"28,989,314","3,220,129,668",112.00,112.00,110.50,111.00,-1.00,"15,650"
150,111/08/17,"33,849,726","3,787,892,860",111.00,112.50,111.00,112.50,+1.50,"15,653"
151,111/08/18,"26,002,863","2,903,643,194",112.50,112.50,111.00,112.00,-0.50,"8,565"
152,111/08/19,"17,707,131","1,971,372,238",111.50,112.00,111.00,111.00,-1.00,"6,899"
153,111/08/22,"16,613,929","1,834,457,540",110.50,111.00,110.00,111.00, 0.00,"7,788"
154,111/08/23,"18,158,910","1,998,932,319",110.00,110.50,109.50,110.00,-1.00,"8,259"
155,111/08/24,"24,754,117","2,713,269,554",110.50,111.00,109.00,109.50,-0.50,"13,931"
156,111/08/25,"14,187,366","1,558,328,414",109.50,110.50,109.50,109.50, 0.00,"7,050"
157,111/08/26,"17,147,941","1,886,254,324",110.00,110.50,109.50,110.50,+1.00,"7,974"
158,111/08/29,"27,166,245","2,941,811,595",108.50,109.00,108.00,108.00,-2.50,"15,622"
159,111/08/30,"21,904,735","2,374,080,779",108.50,109.00,108.00,108.50,+0.50,"9,238"
160,111/08/31,"29,733,770","3,228,381,242",108.00,109.50,107.50,109.00,+0.50,"11,975"
